;; -*- coding: utf-8 -*--
shi-wo-men 是我们
wo-hao 我好
zhao-chu 找出
shui-hao-le 睡好了
leng-cheng 冷成
dui-mu 堆墓
di-yi-ju 第一句
jie-shou-bu-liao 接受不了
you-ji 有机
gui-ze-li 规则里
huai-huai-de 坏坏的
zheng-ban-a 正版啊
ce-lian 侧脸
zhuan-shu 专属
re-li-xue 热力学
fen-bian-lv 分辨率
dun-ce 蹲厕
zi-ji-xia 自己吓
kuai-qian 块钱
gei-hui 给回
qi-dong-le 启动了
zuo-chu-yi-fan 做出一番
di-li-shu 地理书
la-qu 拉去
tu-zhuan 突转
qing-chao-chu-dong 倾巢出动
fan-she-guang-xian 反射光线
ceng-shu 层数
suan-shang 算上
fa-cuo 发错
you-er-shi 有二十
dian-ji-wan 点击完
da-cheng-gou 打成狗
dou-mei-ya 都没呀
xing-wei 腥味
qing-lai 请来
bu-xiang-nong 不想弄
wang-dian 网店
mei-you-zuo 没有作
hen-xing-fu 很幸福
jia-duo-yi-dian 加多一点
hao-xiang-bian-le 好像变了
da-bu-fen 大部分
po-zhan 破绽
de-xing-dong 的行动
a-li-yun 阿里云
di-tu-bao 地图包
ren-jia-me 人家么
yi-yi 意义
bu-kan 不看
tai-ying-de 太硬的
yi 移
gan-jing 干净
tiao-zhang 跳章
you-man 又慢
de-ji-yi 的记忆
